epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.502201,1.08885,2.74391,1.48645,0.56607,0.85,0.8784,0.63412,1.65185,1.03238,1.38069,0,0,0
2,0.841594,1.1859,2.7921,1.48712,0.55805,0.85,0.88594,0.63441,1.67267,1.02472,1.38438,1.17822e-06,1.17822e-06,1.17822e-06
3,1.16454,1.09911,2.50882,1.22146,0.56065,0.85,0.85059,0.61535,1.68745,1.01197,1.38931,2.33288e-06,2.33288e-06,2.33288e-06
4,1.44592,1.1889,2.75256,1.4985,0.54553,0.85,0.85608,0.63482,1.67096,0.99209,1.36947,3.46397e-06,3.46397e-06,3.46397e-06
5,1.7719,1.20515,2.44942,1.61827,0.54994,0.85,0.85777,0.63681,1.66522,1.0124,1.36471,4.5715e-06,4.5715e-06,4.5715e-06
6,2.13744,0.83135,1.92657,1.14531,0.53557,0.85,0.8566,0.62788,1.68293,1.0138,1.37331,5.65548e-06,5.65548e-06,5.65548e-06
7,2.49994,1.40049,2.77065,1.77098,0.53278,0.86183,0.85848,0.6286,1.67169,1.00857,1.36886,6.71588e-06,6.71588e-06,6.71588e-06
8,2.85004,1.1932,3.85015,1.65674,0.56417,0.86667,0.86385,0.63222,1.67967,1.02601,1.36811,7.75273e-06,7.75273e-06,7.75273e-06
9,3.20304,0.89741,2.95136,1.2758,0.55187,0.86667,0.8596,0.62963,1.67673,1.02555,1.36383,8.76602e-06,8.76602e-06,8.76602e-06
10,3.55807,1.04051,2.17563,1.27169,0.5305,0.86667,0.89475,0.63413,1.67084,1.03211,1.35991,9.75574e-06,9.75574e-06,9.75574e-06
11,3.91716,1.19088,2.27534,1.56893,0.62889,0.94511,0.90931,0.64468,1.67109,1.03745,1.36001,1.07219e-05,1.07219e-05,1.07219e-05
12,4.28523,1.00845,2.28356,1.37797,0.64018,0.94555,0.90754,0.64428,1.67639,1.04442,1.36153,1.16645e-05,1.16645e-05,1.16645e-05
13,4.65735,1.36495,3.24164,1.80354,0.62505,0.95,0.90836,0.6467,1.68243,1.05554,1.36311,1.25835e-05,1.25835e-05,1.25835e-05
14,5.02519,0.77998,2.38262,1.19985,0.63225,0.78333,0.90991,0.64665,1.69274,1.06989,1.36642,1.3479e-05,1.3479e-05,1.3479e-05
15,5.39374,1.28417,3.05079,1.53019,0.63566,0.78333,0.9101,0.65132,1.68372,1.07625,1.36295,1.43509e-05,1.43509e-05,1.43509e-05
16,5.77433,1.20938,2.06666,1.51517,0.63735,0.78333,0.91006,0.63471,1.67281,1.07871,1.35872,1.51993e-05,1.51993e-05,1.51993e-05
17,6.13722,0.80643,1.55998,1.17007,0.64598,0.78333,0.91009,0.63292,1.66753,1.09087,1.35994,1.60241e-05,1.60241e-05,1.60241e-05
18,6.48132,0.62094,1.31486,0.99144,0.64598,0.78333,0.91009,0.63292,1.66753,1.09087,1.35994,1.68253e-05,1.68253e-05,1.68253e-05
19,6.83999,0.69169,1.54702,1.03312,0.83393,0.65,0.86837,0.62122,1.68607,1.13138,1.37376,1.7603e-05,1.7603e-05,1.7603e-05
20,7.18024,1.14115,1.73898,1.3337,0.83393,0.65,0.86837,0.62122,1.68607,1.13138,1.37376,1.83571e-05,1.83571e-05,1.83571e-05
21,7.53953,0.75235,1.77772,1.1727,0.80451,0.65,0.85523,0.62694,1.68616,1.17481,1.37575,1.90876e-05,1.90876e-05,1.90876e-05
22,7.88249,1.03861,1.68798,1.22063,0.80451,0.65,0.85523,0.62694,1.68616,1.17481,1.37575,1.97946e-05,1.97946e-05,1.97946e-05
23,8.24399,0.91501,1.69417,1.36271,0.79577,0.65,0.85529,0.62703,1.67807,1.20053,1.37243,2.0478e-05,2.0478e-05,2.0478e-05
24,8.58436,0.92382,1.65269,1.23113,0.79577,0.65,0.85529,0.62703,1.67807,1.20053,1.37243,2.11379e-05,2.11379e-05,2.11379e-05
25,8.9371,0.67979,2.01717,1.07351,0.79597,0.65,0.85513,0.61271,1.69744,1.23735,1.38532,2.17741e-05,2.17741e-05,2.17741e-05
26,9.28017,0.84604,1.32078,1.17711,0.79597,0.65,0.85513,0.61271,1.69744,1.23735,1.38532,2.23869e-05,2.23869e-05,2.23869e-05
27,9.63744,0.96449,1.50529,1.41372,0.79222,0.65,0.85494,0.58599,1.70056,1.28339,1.39402,2.2976e-05,2.2976e-05,2.2976e-05
28,9.98313,0.95643,1.19574,1.24827,0.79222,0.65,0.85494,0.58599,1.70056,1.28339,1.39402,2.35417e-05,2.35417e-05,2.35417e-05
29,10.3357,0.95684,1.67976,1.30112,0.77037,0.65,0.85464,0.61425,1.6883,1.30109,1.38929,2.40837e-05,2.40837e-05,2.40837e-05
30,10.678,1.0977,1.27623,1.4031,0.77037,0.65,0.85464,0.61425,1.6883,1.30109,1.38929,2.46022e-05,2.46022e-05,2.46022e-05
31,11.0238,1.01432,1.65339,1.33598,0.74853,0.65,0.85261,0.59614,1.67954,1.35543,1.38682,2.50971e-05,2.50971e-05,2.50971e-05
32,11.3569,0.68007,1.49982,1.31538,0.74853,0.65,0.85261,0.59614,1.67954,1.35543,1.38682,2.55685e-05,2.55685e-05,2.55685e-05
33,11.7138,1.06864,1.97535,1.3552,0.74295,0.65,0.85177,0.58503,1.66279,1.38959,1.37941,2.60163e-05,2.60163e-05,2.60163e-05
